"PEPANNRES: Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014",,,,,,,,,,,
2014 Population Estimates ,,,,,,,,,,,
Geography,,,"April 1, 2010",,,,Population Estimate (as of July 1),,,,
,,,Census,,,Estimates Base,2010,2011,2012,2013,2014
"Russell County, Alabama",,,"52,947",,,"52,949","53,279","54,845","57,736","59,430","59,608"
"St. Clair County, Alabama",,,"83,593",,,"83,593","83,800","84,305","85,165","86,244","86,697"
"Shelby County, Alabama",,,"195,085",,,"195,218","196,036","197,988","200,963","204,196","206,655"
"Sumter County, Alabama",,,"13,763",,,"13,763","13,748","13,494","13,411","13,345","13,166"
"Talladega County, Alabama",,,"82,291",,,"82,291","82,067","81,781","81,858","81,339","81,322"
"Tallapoosa County, Alabama",,,"41,616",,,"41,618","41,490","41,443","41,156","41,221","41,165"
"Tuscaloosa County, Alabama",,,"194,656",,,"194,653","195,056","196,697","198,643","200,744","202,212"
"Walker County, Alabama",,,"67,023",,,"67,023","66,991","66,607","66,125","65,859","65,471"
"Washington County, Alabama",,,"17,581",,,"17,583","17,601","17,319","17,088","16,842","16,834"
"Wilcox County, Alabama",,,"11,670",,,"11,665","11,579","11,510","11,386","11,262","11,098"
"Winston County, Alabama",,,"24,484",,,"24,483","24,409","24,348","24,185","24,187","24,150"
"Aleutians East Borough, Alaska",,,"3,141",,,"3,141","3,178","3,267","3,320","3,351","3,360"
"Aleutians West Census Area, Alaska",,,"5,561",,,"5,561","5,551","5,587","5,671","5,692","5,750"
"Anchorage Municipality, Alaska",,,"291,826",,,"291,826","293,337","296,282","298,633","301,629","301,010"
"Bethel Census Area, Alaska",,,"17,013",,,"17,013","17,068","17,453","17,687","17,806","17,868"
"Bristol Bay Borough, Alaska",,,997,,,997,"1,002","1,038",984,955,957
"Denali Borough, Alaska",,,"1,826",,,"1,826","1,832","1,869","1,906","1,933","1,921"
"Dillingham Census Area, Alaska",,,"4,847",,,"4,847","4,869","4,969","4,968","4,988","4,988"
"Fairbanks North Star Borough, Alaska",,,"97,581",,,"97,581","98,174","98,029","100,227","100,807","99,357"
"Haines Borough, Alaska",,,"2,508",,,"2,508","2,504","2,572","2,572","2,569","2,566"
"Hoonah-Angoon Census Area, Alaska",,,"2,150",,,"2,149","2,149","2,124","2,140","2,134","2,082"
"Juneau City and Borough, Alaska",,,"31,275",,,"31,275","31,386","32,170","32,411","32,626","32,406"
"Kenai Peninsula Borough, Alaska",,,"55,400",,,"55,400","55,566","56,369","56,958","57,067","57,477"
"Ketchikan Gateway Borough, Alaska",,,"13,477",,,"13,477","13,536","13,654","13,709","13,695","13,787"
"Kodiak Island Borough, Alaska",,,"13,592",,,"13,606","13,637","13,807","14,075","14,115","13,986"
"Lake and Peninsula Borough, Alaska",,,"1,631",,,"1,635","1,638","1,656","1,643","1,662","1,631"
"Matanuska-Susitna Borough, Alaska",,,"88,995",,,"88,995","89,783","91,858","93,798","95,892","97,882"
"Nome Census Area, Alaska",,,"9,492",,,"9,492","9,543","9,844","9,873","9,884","9,817"
"North Slope Borough, Alaska",,,"9,430",,,"9,430","9,467","9,534","9,655","9,733","9,703"
"Northwest Arctic Borough, Alaska",,,"7,523",,,"7,523","7,531","7,708","7,709","7,697","7,717"
"Petersburg Borough, Alaska",,,"3,815",,,"3,207","3,209","3,235","3,241","3,213","3,160"
"Prince of Wales-Hyder Census Area, Alaska",,,"5,559",,,"6,172","6,214","6,379","6,387","6,402","6,396"
"Sitka City and Borough, Alaska",,,"8,881",,,"8,881","8,897","8,913","9,060","9,014","8,900"
"Skagway Municipality, Alaska",,,968,,,968,965,960,994,"1,012","1,036"
"Southeast Fairbanks Census Area, Alaska",,,"7,029",,,"7,029","7,053","7,120","7,149","6,969","6,931"
"Valdez-Cordova Census Area, Alaska",,,"9,636",,,"9,636","9,678","9,752","9,736","9,770","9,488"
"Wade Hampton Census Area, Alaska",,,"7,459",,,"7,459","7,473","7,662","7,795","7,952","8,010"
"Wrangell City and Borough, Alaska",,,"2,369",,,"2,365","2,366","2,381","2,398","2,404","2,364"
"Yakutat City and Borough, Alaska",,,662,,,662,661,647,651,634,635
"Yukon-Koyukuk Census Area, Alaska",,,"5,588",,,"5,588","5,589","5,733","5,731","5,654","5,547"
"Apache County, Arizona",,,"71,518",,,"71,518","71,749","72,354","72,911","71,867","71,828"
"Cochise County, Arizona",,,"131,346",,,"131,357","131,868","133,058","131,919","129,744","127,448"
"Coconino County, Arizona",,,"134,421",,,"134,437","134,603","134,159","135,949","136,690","137,682"
"Gila County, Arizona",,,"53,597",,,"53,597","53,534","53,469","53,027","53,063","53,119"
"Graham County, Arizona",,,"37,220",,,"37,220","37,139","37,081","36,945","37,435","37,957"
"Greenlee County, Arizona",,,"8,437",,,"8,437","8,343","8,593","8,775","8,944","9,346"
"La Paz County, Arizona",,,"20,489",,,"20,489","20,446","20,443","20,289","20,331","20,231"
"Maricopa County, Arizona",,,"3,817,117",,,"3,817,357","3,823,609","3,870,076","3,942,868","4,013,164","4,087,191"
"Mohave County, Arizona",,,"200,186",,,"200,186","200,380","202,642","203,174","202,855","203,361"
"Navajo County, Arizona",,,"107,449",,,"107,494","107,649","107,374","106,973","107,346","108,101"
"Pima County, Arizona",,,"980,263",,,"980,263","981,935","988,125","993,094","998,050","1,004,516"
"Pinal County, Arizona",,,"375,770",,,"375,770","385,738","384,073","388,106","390,965","401,918"
"Santa Cruz County, Arizona",,,"47,420",,,"47,420","47,384","47,618","47,433","47,121","46,695"
"Yavapai County, Arizona",,,"211,033",,,"211,015","210,517","211,185","212,509","215,389","218,844"
"Yuma County, Arizona",,,"195,751",,,"195,750","197,105","202,617","202,264","202,033","203,247"
"Arkansas County, Arkansas",,,"19,019",,,"19,018","19,009","18,887","18,994","18,820","18,594"
"Ashley County, Arkansas",,,"21,853",,,"21,853","21,835","21,655","21,497","21,252","20,948"
"Baxter County, Arkansas",,,"41,513",,,"41,513","41,551","41,287","41,077","40,996","40,857"
"Benton County, Arkansas",,,"221,339",,,"221,344","222,923","227,769","232,739","237,301","242,321"
"Boone County, Arkansas",,,"36,903",,,"36,903","36,888","37,040","37,333","37,389","37,196"
"Bradley County, Arkansas",,,"11,508",,,"11,508","11,489","11,453","11,298","11,192","11,148"
"Calhoun County, Arkansas",,,"5,368",,,"5,368","5,330","5,280","5,299","5,219","5,202"
"Carroll County, Arkansas",,,"27,446",,,"27,446","27,560","27,470","27,598","27,760","27,744"
"Chicot County, Arkansas",,,"11,800",,,"11,800","11,794","11,673","11,458","11,338","11,180"
"Clark County, Arkansas",,,"22,995",,,"22,995","22,950","22,953","22,822","22,697","22,576"
"Clay County, Arkansas",,,"16,083",,,"16,083","16,057","15,836","15,580","15,294","15,118"
"Cleburne County, Arkansas",,,"25,970",,,"25,969","25,989","25,908","25,778","25,656","25,634"
"Cleveland County, Arkansas",,,"8,689",,,"8,689","8,690","8,668","8,615","8,562","8,449"
"Columbia County, Arkansas",,,"24,552",,,"24,552","24,729","24,670","24,401","24,266","23,933"
"Conway County, Arkansas",,,"21,273",,,"21,271","21,248","21,151","21,216","21,176","21,083"
"Craighead County, Arkansas",,,"96,443",,,"96,443","96,726","98,381","99,903","101,647","102,518"
"Crawford County, Arkansas",,,"61,948",,,"61,948","61,987","61,848","61,933","61,658","61,697"
"Crittenden County, Arkansas",,,"50,902",,,"50,902","50,954","50,528","50,070","49,758","49,548"
"Cross County, Arkansas",,,"17,870",,,"17,866","17,841","17,747","17,654","17,504","17,227"
"Dallas County, Arkansas",,,"8,116",,,"8,116","8,061","8,069","7,965","7,921","7,755"
"Desha County, Arkansas",,,"13,008",,,"13,008","12,970","12,711","12,574","12,492","12,264"
"Drew County, Arkansas",,,"18,509",,,"18,509","18,673","18,729","18,775","18,728","18,622"
"Faulkner County, Arkansas",,,"113,237",,,"113,237","114,039","116,293","118,529","119,390","120,768"
"Franklin County, Arkansas",,,"18,125",,,"18,125","18,121","17,986","17,942","17,945","17,805"
"Fulton County, Arkansas",,,"12,245",,,"12,245","12,212","12,285","12,241","12,227","12,125"
"Garland County, Arkansas",,,"96,024",,,"96,024","96,156","96,641","96,837","97,065","97,322"
"Grant County, Arkansas",,,"17,853",,,"17,853","17,887","17,957","18,035","18,046","18,144"
"Greene County, Arkansas",,,"42,090",,,"42,090","42,193","42,731","43,158","43,072","43,694"
"Hempstead County, Arkansas",,,"22,609",,,"22,609","22,566","22,477","22,325","22,398","22,327"
"Hot Spring County, Arkansas",,,"32,923",,,"32,923","33,145","33,047","33,386","33,440","33,368"
"Howard County, Arkansas",,,"13,789",,,"13,789","13,827","13,844","13,710","13,544","13,500"
"Independence County, Arkansas",,,"36,647",,,"36,647","36,795","36,803","36,905","36,843","36,959"
"Izard County, Arkansas",,,"13,696",,,"13,696","13,681","13,573","13,506","13,364","13,486"
"Jackson County, Arkansas",,,"17,997",,,"17,998","18,048","17,842","17,640","17,664","17,534"
"Jefferson County, Arkansas",,,"77,435",,,"77,435","77,311","76,004","74,580","73,084","72,297"
"Johnson County, Arkansas",,,"25,540",,,"25,540","25,536","25,663","25,864","25,887","26,005"
"Lafayette County, Arkansas",,,"7,645",,,"7,645","7,633","7,536","7,431","7,245","7,111"
"Lawrence County, Arkansas",,,"17,415",,,"17,412","17,499","17,285","17,039","17,061","16,931"
"Lee County, Arkansas",,,"10,424",,,"10,424","10,376","10,289","10,190","10,041","9,860"
"Lincoln County, Arkansas",,,"14,134",,,"14,134","14,075","14,329","14,149","14,043","13,970"
"Little River County, Arkansas",,,"13,171",,,"13,168","13,133","12,950","12,905","12,741","12,532"
"Logan County, Arkansas",,,"22,353",,,"22,353","22,319","22,286","22,005","22,076","21,958"
"Lonoke County, Arkansas",,,"68,356",,,"68,354","68,701","69,410","70,087","70,834","71,557"
"Madison County, Arkansas",,,"15,717",,,"15,720","15,692","15,690","15,636","15,721","15,740"
"Marion County, Arkansas",,,"16,653",,,"16,653","16,645","16,635","16,595","16,427","16,367"
"Miller County, Arkansas",,,"43,462",,,"43,462","43,526","43,732","43,617","43,380","43,428"
"Mississippi County, Arkansas",,,"46,480",,,"46,480","46,371","46,035","45,550","44,734","44,235"
"Monroe County, Arkansas",,,"8,149",,,"8,150","8,122","8,066","7,840","7,667","7,582"
"Montgomery County, Arkansas",,,"9,487",,,"9,487","9,485","9,381","9,315","9,216","9,082"
"Nevada County, Arkansas",,,"8,997",,,"8,997","8,967","9,001","8,903","8,789","8,723"
"Newton County, Arkansas",,,"8,330",,,"8,330","8,325","8,274","8,084","8,068","7,904"
"Ouachita County, Arkansas",,,"26,120",,,"26,121","26,109","25,746","25,411","25,013","24,828"
"Perry County, Arkansas",,,"10,445",,,"10,441","10,447","10,386","10,326","10,344","10,245"
"Phillips County, Arkansas",,,"21,757",,,"21,757","21,686","21,419","20,772","20,426","19,930"
"Pike County, Arkansas",,,"11,291",,,"11,291","11,277","11,243","11,266","11,126","11,024"
"Poinsett County, Arkansas",,,"24,583",,,"24,583","24,544","24,459","24,325","24,222","24,246"
"Polk County, Arkansas",,,"20,662",,,"20,662","20,679","20,570","20,440","20,354","20,225"
"Pope County, Arkansas",,,"61,754",,,"61,754","62,110","62,662","62,717","62,747","63,201"
"Prairie County, Arkansas",,,"8,715",,,"8,715","8,701","8,565","8,446","8,360","8,304"
"Pulaski County, Arkansas",,,"382,748",,,"382,796","383,600","386,862","389,058","391,536","392,702"
"Randolph County, Arkansas",,,"17,969",,,"17,969","17,950","17,966","17,851","17,634","17,571"
"St. Francis County, Arkansas",,,"28,258",,,"28,258","28,172","27,952","27,883","27,302","26,899"
"Saline County, Arkansas",,,"107,118",,,"107,118","107,631","109,851","111,668","114,185","115,719"
"Scott County, Arkansas",,,"11,233",,,"11,233","11,267","11,239","11,007","10,914","10,693"
"Searcy County, Arkansas",,,"8,195",,,"8,195","8,189","8,077","7,995","7,990","7,929"
"Sebastian County, Arkansas",,,"125,744",,,"125,744","125,824","126,916","127,370","127,118","126,776"
"Sevier County, Arkansas",,,"17,058",,,"17,058","17,138","17,170","17,174","17,342","17,426"
"Sharp County, Arkansas",,,"17,264",,,"17,267","17,281","17,275","17,053","17,068","16,906"
"Stone County, Arkansas",,,"12,394",,,"12,394","12,416","12,585","12,628","12,533","12,494"
"Union County, Arkansas",,,"41,639",,,"41,639","41,580","41,386","40,904","40,675","40,227"
"Van Buren County, Arkansas",,,"17,295",,,"17,294","17,296","17,184","17,155","16,965","16,851"
"Washington County, Arkansas",,,"203,065",,,"203,060","204,019","207,893","211,734","216,753","220,792"
"White County, Arkansas",,,"77,076",,,"77,076","77,339","78,132","78,652","78,661","78,592"
"Woodruff County, Arkansas",,,"7,260",,,"7,264","7,243","7,192","7,071","7,052","6,910"
"Yell County, Arkansas",,,"22,185",,,"22,185","22,159","21,942","21,811","21,807","21,951"
"Alameda County, California",,,"1,510,271",,,"1,510,261","1,513,625","1,532,518","1,556,249","1,583,226","1,610,921"
"Alpine County, California",,,"1,175",,,"1,175","1,158","1,111","1,127","1,150","1,116"
"Amador County, California",,,"38,091",,,"38,091","37,860","37,520","37,072","36,602","36,742"
"Butte County, California",,,"220,000",,,"220,000","219,924","220,025","221,279","222,420","224,241"
"Calaveras County, California",,,"45,578",,,"45,578","45,475","45,117","44,774","44,614","44,624"
"Colusa County, California",,,"21,419",,,"21,419","21,459","21,415","21,397","21,432","21,419"
"Contra Costa County, California",,,"1,049,025",,,"1,049,197","1,052,894","1,066,587","1,079,358","1,095,980","1,111,339"
"Del Norte County, California",,,"28,610",,,"28,610","28,580","28,485","28,226","27,827","27,212"
"El Dorado County, California",,,"181,058",,,"181,057","181,163","180,926","180,605","181,542","183,087"
"Fresno County, California",,,"930,450",,,"930,452","932,642","941,260","948,240","956,102","965,974"
"Glenn County, California",,,"28,122",,,"28,122","28,101","28,185","27,938","27,914","27,955"
"Humboldt County, California",,,"134,623",,,"134,623","135,022","135,250","134,680","134,620","134,809"
"Imperial County, California",,,"174,528",,,"174,528","174,779","176,300","177,443","177,517","179,091"
"Inyo County, California",,,"18,546",,,"18,546","18,532","18,413","18,416","18,423","18,410"
"Kern County, California",,,"839,631",,,"839,631","841,762","849,872","856,502","865,923","874,589"
"Kings County, California",,,"152,982",,,"152,982","152,418","152,063","151,340","150,862","150,269"
"Lake County, California",,,"64,665",,,"64,665","64,757","64,279","63,984","63,843","64,184"
"Lassen County, California",,,"34,895",,,"34,895","34,841","34,297","33,679","32,212","31,749"
"Los Angeles County, California",,,"9,818,605",,,"9,818,664","9,827,231","9,898,214","9,974,868","10,053,995","10,116,705"
"Madera County, California",,,"150,865",,,"150,865","151,154","152,148","152,244","152,165","154,548"
"Marin County, California",,,"252,409",,,"252,409","252,884","255,413","256,143","258,821","260,750"
"Mariposa County, California",,,"18,251",,,"18,250","18,261","18,184","17,845","17,758","17,682"
"Mendocino County, California",,,"87,841",,,"87,840","87,761","87,460","87,497","87,471","87,869"
"Merced County, California",,,"255,793",,,"255,798","256,731","259,698","261,783","263,481","266,353"
"Modoc County, California",,,"9,686",,,"9,686","9,708","9,499","9,332","9,112","9,023"
"Mono County, California",,,"14,202",,,"14,202","14,249","14,398","14,306","14,016","13,997"
"Monterey County, California",,,"415,057",,,"415,057","416,364","421,393","426,411","429,123","431,344"
"Napa County, California",,,"136,484",,,"136,530","136,829","138,056","139,135","140,580","141,667"
"Nevada County, California",,,"98,764",,,"98,748","98,752","98,788","98,333","98,262","98,893"
"Orange County, California",,,"3,010,232",,,"3,010,269","3,018,080","3,056,311","3,089,893","3,121,854","3,145,515"
"Placer County, California",,,"348,432",,,"348,494","350,214","356,897","361,446","367,339","371,694"
"Plumas County, California",,,"20,007",,,"20,007","19,918","19,690","19,341","18,877","18,606"
"Riverside County, California",,,"2,189,641",,,"2,189,757","2,202,553","2,237,696","2,268,019","2,296,956","2,329,271"
"Sacramento County, California",,,"1,418,788",,,"1,418,742","1,421,838","1,435,601","1,448,771","1,463,149","1,482,026"
"San Benito County, California",,,"55,269",,,"55,269","55,532","56,174","56,871","57,594","58,267"
"San Bernardino County, California",,,"2,035,210",,,"2,035,215","2,041,689","2,064,663","2,080,651","2,093,306","2,112,619"
"San Diego County, California",,,"3,095,313",,,"3,095,308","3,104,543","3,141,768","3,183,413","3,222,558","3,263,431"
"San Francisco County, California",,,"805,235",,,"805,195","805,825","816,239","829,691","841,138","852,469"
"San Joaquin County, California",,,"685,306",,,"685,308","687,513","695,479","701,635","705,027","715,597"
"San Luis Obispo County, California",,,"269,637",,,"269,593","269,860","271,165","274,528","276,284","279,083"
"San Mateo County, California",,,"718,451",,,"718,498","719,951","729,425","740,738","750,489","758,581"
"Santa Barbara County, California",,,"423,895",,,"423,939","424,331","425,974","430,728","436,076","440,668"
"Santa Clara County, California",,,"1,781,642",,,"1,781,672","1,786,930","1,814,105","1,841,098","1,871,107","1,894,605"
"Santa Cruz County, California",,,"262,382",,,"262,362","263,213","264,923","266,632","269,444","271,804"
"Shasta County, California",,,"177,223",,,"177,223","177,286","177,950","178,421","179,137","179,804"
"Sierra County, California",,,"3,240",,,"3,240","3,221","3,104","3,076","3,040","3,003"
"Siskiyou County, California",,,"44,900",,,"44,900","44,971","44,719","44,214","43,773","43,628"
"Solano County, California",,,"413,344",,,"413,344","414,101","416,945","420,724","425,219","431,131"
"Sonoma County, California",,,"483,878",,,"483,880","484,666","487,722","490,838","495,432","500,292"
"Stanislaus County, California",,,"514,453",,,"514,451","515,283","518,270","522,134","526,286","531,997"
"Sutter County, California",,,"94,737",,,"94,737","94,814","94,750","94,637","95,287","95,847"
"Tehama County, California",,,"63,463",,,"63,461","63,638","63,321","63,263","63,130","63,067"
"Trinity County, California",,,"13,786",,,"13,786","13,755","13,712","13,495","13,444","13,170"
"Tulare County, California",,,"442,179",,,"442,182","443,292","447,824","451,499","454,725","458,198"
"Tuolumne County, California",,,"55,365",,,"55,365","55,168","54,724","54,100","53,911","53,831"
"Ventura County, California",,,"823,318",,,"823,420","825,353","830,973","835,476","840,972","846,178"
"Yolo County, California",,,"200,849",,,"200,850","201,167","202,303","204,265","205,485","207,590"
"Yuba County, California",,,"72,155",,,"72,155","72,390","72,600","72,977","73,361","73,966"
"Adams County, Colorado",,,"441,603",,,"441,687","443,668","452,202","460,653","470,547","480,718"
"Alamosa County, Colorado",,,"15,445",,,"15,445","15,901","16,107","16,113","16,256","16,177"
"Arapahoe County, Colorado",,,"572,003",,,"572,158","574,577","585,845","596,051","608,128","618,821"
"Archuleta County, Colorado",,,"12,084",,,"12,084","12,065","12,022","12,129","12,202","12,244"
"Baca County, Colorado",,,"3,788",,,"3,788","3,787","3,807","3,756","3,679","3,645"
"Bent County, Colorado",,,"6,499",,,"6,499","6,509","6,322","5,807","5,734","5,630"
"Boulder County, Colorado",,,"294,567",,,"294,571","295,967","300,650","305,483","310,396","313,333"
"Broomfield County, Colorado",,,"55,889",,,"55,860","56,266","57,433","58,992","60,306","62,138"
"Chaffee County, Colorado",,,"17,809",,,"17,809","17,803","18,001","18,103","18,335","18,363"
"Cheyenne County, Colorado",,,"1,836",,,"1,836","1,835","1,869","1,887","1,898","1,871"
"Clear Creek County, Colorado",,,"9,088",,,"9,088","9,105","9,077","9,091","9,110","9,187"
"Conejos County, Colorado",,,"8,256",,,"8,256","8,277","8,308","8,273","8,258","8,265"
"Costilla County, Colorado",,,"3,524",,,"3,524","3,528","3,649","3,605","3,539","3,568"
"Crowley County, Colorado",,,"5,823",,,"5,823","5,845","5,842","5,412","5,333","5,360"
"Custer County, Colorado",,,"4,255",,,"4,255","4,276","4,224","4,240","4,271","4,361"
"Delta County, Colorado",,,"30,952",,,"30,952","30,870","30,377","30,449","30,326","29,870"
"Denver County, Colorado",,,"600,158",,,"600,025","603,365","619,390","633,868","648,401","663,862"
"Dolores County, Colorado",,,"2,064",,,"2,064","2,062","2,029","1,991","2,025","1,978"
"Douglas County, Colorado",,,"285,465",,,"285,465","286,920","292,538","298,576","306,297","314,638"
"Eagle County, Colorado",,,"52,197",,,"52,197","52,099","51,755","51,951","52,441","52,921"
"Elbert County, Colorado",,,"23,086",,,"23,086","23,107","23,280","23,432","23,713","24,195"
"El Paso County, Colorado",,,"622,263",,,"622,261","626,895","636,944","645,724","655,453","663,519"
"Fremont County, Colorado",,,"46,824",,,"46,824","46,885","47,431","47,114","46,463","46,502"
"Garfield County, Colorado",,,"56,389",,,"56,389","56,077","56,003","56,777","57,102","57,461"
"Gilpin County, Colorado",,,"5,441",,,"5,441","5,463","5,447","5,453","5,572","5,851"
"Grand County, Colorado",,,"14,843",,,"14,843","14,786","14,557","14,182","14,319","14,546"
"Gunnison County, Colorado",,,"15,324",,,"15,324","15,369","15,451","15,463","15,505","15,725"
"Hinsdale County, Colorado",,,843,,,843,847,831,801,812,786
"Huerfano County, Colorado",,,"6,711",,,"6,711","6,673","6,519","6,588","6,507","6,462"
"Jackson County, Colorado",,,"1,394",,,"1,394","1,383","1,381","1,347","1,364","1,396"
"Jefferson County, Colorado",,,"534,543",,,"534,583","535,600","539,540","545,621","551,548","558,503"
"Kiowa County, Colorado",,,"1,398",,,"1,398","1,395","1,456","1,437","1,420","1,402"
"Kit Carson County, Colorado",,,"8,270",,,"8,270","8,238","8,192","8,093","8,016","8,072"
"Lake County, Colorado",,,"7,310",,,"7,310","7,263","7,373","7,274","7,290","7,357"
"La Plata County, Colorado",,,"51,334",,,"51,334","51,338","51,770","52,305","53,334","53,989"
"Larimer County, Colorado",,,"299,630",,,"299,630","300,484","305,241","310,835","316,494","324,122"
"Las Animas County, Colorado",,,"15,507",,,"15,507","15,416","15,045","14,986","14,444","14,052"
"Lincoln County, Colorado",,,"5,467",,,"5,469","5,472","5,438","5,446","5,431","5,510"
"Logan County, Colorado",,,"22,709",,,"22,709","22,789","22,687","22,613","22,407","22,524"
"Mesa County, Colorado",,,"146,723",,,"146,723","146,485","147,380","147,724","147,699","148,255"
"Mineral County, Colorado",,,712,,,712,703,712,709,723,698
"Moffat County, Colorado",,,"13,795",,,"13,795","13,802","13,420","13,167","13,115","12,928"
"Montezuma County, Colorado",,,"25,535",,,"25,535","25,537","25,444","25,424","25,667","25,772"
"Montrose County, Colorado",,,"41,276",,,"41,278","41,177","40,910","40,722","40,744","40,873"
